artist_name,similar_artist_name
Paramore,Panic! at the Disco
Paramore,My Chemical Romance
Ilsey,Mary Chapin Carpenter
Ilsey,Zach Bryan
Ilsey,Bon Iver
Ilsey,Chris Stapleton
Ilsey,Ruston Kelly
Mustard,YG
Mustard,Quavo
Mustard,Roddy Ricch
Mustard,Big Sean
Mustard,Rich the Kid
Kid Cudi,KIDS SEE GHOSTS
Kid Cudi,Kanye West
Kid Cudi,Chance the Rapper
Kid Cudi,Pusha T
Kid Cudi,Childish Gambino
Fly Project,Inna
Fly Project,Akcent
Fly Project,Connect-R
Fly Project,DJ Project
Fly Project,Antonia
Wonder Girls,miss A
Wonder Girls,f(x)
Wonder Girls,Kara
Wonder Girls,Brown Eyed Girls
Wonder Girls,After School
"Tyler, The Creator",OFWGKTA
"Tyler, The Creator",Kendrick Lamar
"Tyler, The Creator",Childish Gambino
"Tyler, The Creator",Domo Genesis
"Tyler, The Creator",Casey Veggies
Mad Mark,Mad Mark feat. Manuel
Mad Mark,DJ Antoine vs Mad Mark
Mad Mark,DJ Prom
